Time,id,Treatment,Diet,combo,Shannon,Faith,Evenness,OTUs,Combo_ratio,Ratio,Ratio_Treatment,Ratio_Diet,Ratio_time,Ratio_ID
-8,1,BBS,WD,BBS/WD,3.515458178,18.10353475,0.6328926,47,CD.ATCC,3.731568833,ATCC,CD,-8,13
-8,34,BBS,WD,BBS/WD,3.806549701,23.61040146,0.632068618,50,CD.ATCC,0.982600782,ATCC,CD,-8,14
-8,2,BBS,WD,BBS/WD,4.592922242,43.04950669,0.642389467,98,CD.ATCC,1.064917222,ATCC,CD,-8,15
-8,17,BBS,WD,BBS/WD,3.730469784,20.6218456,0.660978887,111,CD.ATCC,0.822184636,ATCC,CD,-8,16
-8,36,BBS,WD,BBS/WD,3.7846544,24.65941513,0.611431611,142,CD.ATCC,1.494248797,ATCC,CD,-8,29
-8,3,BBS,WD,BBS/WD,3.852703254,19.1515015,0.693607278,44,CD.ATCC,1.433315052,ATCC,CD,-8,30
-8,19,BBS,WD,BBS/WD,4.252080442,37.21826229,0.625819868,47,CD.ATCC,0.668164771,ATCC,CD,-8,31
-8,33,BBS,WD,BBS/WD,3.335174778,27.28023723,0.542327142,71,CD.ATCC,1.390790446,ATCC,CD,-8,32
-8,20,BBS,WD,BBS/WD,3.650831175,18.10798333,0.668720012,65,CD.ATCC,1.697095868,ATCC,CD,-8,45
-8,4,BBS,WD,BBS/WD,3.945682539,23.26699305,0.660113394,110,CD.ATCC,1.611552975,ATCC,CD,-8,46
-8,18,BBS,WD,BBS/WD,3.822406073,33.03288762,0.577864512,73,CD.ATCC,1.476276743,ATCC,CD,-8,47
-8,35,BBS,WD,BBS/WD,4.086612357,34.6929255,0.60262433,63,CD.ATCC,1.535128966,ATCC,CD,-8,48
-8,22,BBS,CD,BBS/CD,4.659717343,38.0567283,0.671185828,86,CD.BBS,0.813429892,BBS,CD,-8,21
-8,5,BBS,CD,BBS/CD,3.812980298,31.24026518,0.591807192,123,CD.BBS,1.453703235,BBS,CD,-8,22
-8,8,BBS,CD,BBS/CD,5.684464511,46.43979038,0.760388872,51,CD.BBS,0.862471264,BBS,CD,-8,23
-8,38,BBS,CD,BBS/CD,3.698858639,24.31960041,0.603473298,69,CD.BBS,1.429965708,BBS,CD,-8,24
-8,23,BBS,CD,BBS/CD,3.615749952,20.24807647,0.637425745,143,CD.BBS,2.052150088,BBS,CD,-8,37
-8,7,BBS,CD,BBS/CD,3.902501182,18.60408891,0.702572465,70,CD.BBS,1.005137092,BBS,CD,-8,38
-8,40,BBS,CD,BBS/CD,3.824249712,31.68345767,0.599878597,100,CD.BBS,1.857728948,BBS,CD,-8,39
-8,39,BBS,CD,BBS/CD,3.771103223,34.05914351,0.567607594,83,CD.BBS,1.251306506,BBS,CD,-8,40
-8,24,BBS,CD,BBS/CD,4.446082039,24.10359472,0.727848774,87,CD.BBS,1.062642416,BBS,CD,-8,5
-8,6,BBS,CD,BBS/CD,3.71252205,22.36662612,0.631097624,59,CD.BBS,1.134635537,BBS,CD,-8,6
-8,21,BBS,CD,BBS/CD,4.519621257,27.31960922,0.703304552,47,CD.BBS,0.596730385,BBS,CD,-8,7
-8,37,BBS,CD,BBS/CD,4.334428831,42.78688813,0.605378034,178,CD.BBS,1.998206484,BBS,CD,-8,8
-8,10,ATCC,WD,ATCC/WD,4.283555441,28.28459679,0.670109939,84,WD.ATCC,0.903971502,ATCC,WD,-8,10
-8,12,ATCC,WD,ATCC/WD,3.703377009,21.93999785,0.634912882,55,WD.ATCC,0.918209821,ATCC,WD,-8,11
-8,42,ATCC,WD,ATCC/WD,4.188002011,36.75725123,0.623748715,57,WD.ATCC,0.842708333,ATCC,WD,-8,12
-8,27,ATCC,WD,ATCC/WD,4.842313186,36.25152197,0.706084369,69,WD.ATCC,0.798417754,ATCC,WD,-8,25
-8,44,ATCC,WD,ATCC/WD,4.172588064,32.34393749,0.633654036,132,WD.ATCC,2.202239911,ATCC,WD,-8,26
-8,11,ATCC,WD,ATCC/WD,3.967243073,20.89307923,0.686212806,116,WD.ATCC,1.918985686,ATCC,WD,-8,27
-8,25,ATCC,WD,ATCC/WD,4.097121501,25.26191434,0.670721961,69,WD.ATCC,1.032360985,ATCC,WD,-8,28
-8,41,ATCC,WD,ATCC/WD,4.008056001,31.87434771,0.61893468,89,WD.ATCC,1.397477078,ATCC,WD,-8,41
-8,28,ATCC,WD,ATCC/WD,3.783940207,25.8594112,0.619452412,105,WD.ATCC,1.493732451,ATCC,WD,-8,42
-8,26,ATCC,WD,ATCC/WD,3.937595218,41.16258397,0.558968614,101,WD.ATCC,1.321223606,ATCC,WD,-8,43
-8,43,ATCC,WD,ATCC/WD,3.760013036,35.27568883,0.564718175,96,WD.ATCC,1.375634096,ATCC,WD,-8,44
-8,47,ATCC,WD,ATCC/WD,3.816754868,32.44412443,0.58792995,167,WD.ATCC,1.577873387,ATCC,WD,-8,9
-8,29,ATCC,CD,ATCC/CD,4.09898637,40.08080535,0.586517571,95,WD.BBS,1.548799923,BBS,WD,-8,1
-8,15,ATCC,CD,ATCC/CD,4.27296249,31.57045064,0.650389102,78,WD.BBS,0.78596593,BBS,WD,-8,17
-8,31,ATCC,CD,ATCC/CD,3.530799559,21.76758587,0.597742501,127,WD.BBS,1.469022534,BBS,WD,-8,18
-8,16,ATCC,CD,ATCC/CD,4.099539566,27.13410682,0.652231858,60,WD.BBS,1.452842072,BBS,WD,-8,19
-8,46,ATCC,CD,ATCC/CD,3.92729889,35.70515417,0.582558499,72,WD.BBS,0.963727001,BBS,WD,-8,2
-8,48,ATCC,CD,ATCC/CD,3.905272616,32.02168456,0.590392127,97,WD.BBS,0.972752897,BBS,WD,-8,20
-8,13,ATCC,CD,ATCC/CD,5.753955605,43.57265704,0.779277633,107,WD.BBS,0.858195513,BBS,WD,-8,3
-8,32,ATCC,CD,ATCC/CD,3.585179852,27.30003521,0.58107349,90,WD.BBS,1.152132641,BBS,WD,-8,33
-8,45,ATCC,CD,ATCC/CD,4.153824765,32.72478162,0.6293757,98,WD.BBS,0.827028415,BBS,WD,-8,34
6,1,ATCC,CD,ATCC/CD,4.798466925,27.14709171,0.754766445,82,WD.BBS,1.506349979,BBS,WD,-8,35
6,34,BBS,WD,BBS/WD,4.450646476,28.44100948,0.679012304,85,WD.BBS,0.867386714,BBS,WD,-8,36
6,2,BBS,WD,BBS/WD,4.852313879,35.34457196,0.708833676,136,WD.BBS,0.819726422,BBS,WD,-8,4
6,17,BBS,WD,BBS/WD,4.466002955,27.8411803,0.696790537,108,CD.ATCC,1.095648536,ATCC,CD,6,13
6,36,BBS,WD,BBS/WD,5.084310704,29.86732569,0.758802544,115,CD.ATCC,1.329386102,ATCC,CD,6,15
6,3,BBS,WD,BBS/WD,4.769512246,35.27486072,0.707488779,96,CD.ATCC,1.591083692,ATCC,CD,6,16
6,19,BBS,WD,BBS/WD,4.77250102,34.00021605,0.706525611,107,CD.ATCC,1.744192655,ATCC,CD,6,29
6,33,BBS,WD,BBS/WD,4.79205878,28.51427376,0.734577032,92,CD.ATCC,1.380319515,ATCC,CD,6,30
6,20,BBS,WD,BBS/WD,4.292432156,29.67508994,0.651853698,94,CD.ATCC,0.763339643,ATCC,CD,6,31
6,4,BBS,WD,BBS/WD,4.38026885,30.88583964,0.660738153,103,CD.ATCC,1.105780154,ATCC,CD,6,32
6,18,BBS,WD,BBS/WD,4.97752408,37.78598813,0.702299849,104,CD.ATCC,1.575354663,ATCC,CD,6,45
6,35,BBS,WD,BBS/WD,4.896227838,30.7895791,0.732255657,99,CD.ATCC,2.253153353,ATCC,CD,6,46
6,22,BBS,WD,BBS/WD,3.692130372,34.63254657,0.558169664,100,CD.ATCC,1.101120525,ATCC,CD,6,47
6,5,BBS,CD,BBS/CD,4.941817049,41.46154986,0.685463488,98,CD.ATCC,0.683061669,ATCC,CD,6,48
6,8,BBS,CD,BBS/CD,4.51122365,43.29422586,0.617655952,68,CD.BBS,1.389142715,BBS,CD,6,21
6,38,BBS,CD,BBS/CD,4.149670932,30.83754789,0.620604293,98,CD.BBS,1.204910255,BBS,CD,6,22
6,23,BBS,CD,BBS/CD,3.708566503,25.78092952,0.609213822,146,CD.BBS,0.86873811,BBS,CD,6,23
6,7,BBS,CD,BBS/CD,4.320858267,29.83394772,0.659211182,103,CD.BBS,0.922477133,BBS,CD,6,24
6,40,BBS,CD,BBS/CD,3.959852358,37.16857229,0.577407893,98,CD.BBS,1.037778438,BBS,CD,6,37
6,39,BBS,CD,BBS/CD,4.056343139,33.87914838,0.613230699,116,CD.BBS,0.70288183,BBS,CD,6,38
6,24,BBS,CD,BBS/CD,3.91899056,32.89893491,0.592465981,148,CD.BBS,1.109218808,BBS,CD,6,39
6,6,BBS,CD,BBS/CD,4.494469267,33.66247305,0.657769883,114,CD.BBS,1.006761377,BBS,CD,6,40
6,21,BBS,CD,BBS/CD,3.851909766,33.06056788,0.57977019,94,CD.BBS,1.401122225,BBS,CD,6,5
6,37,BBS,CD,BBS/CD,4.332489582,43.23300686,0.602586273,158,CD.BBS,1.359217197,BBS,CD,6,6
6,10,BBS,CD,BBS/CD,4.843342409,28.22273886,0.742438325,92,CD.BBS,0.882926059,BBS,CD,6,7
6,12,ATCC,WD,ATCC/WD,4.384788832,26.42482028,0.680556773,99,CD.BBS,1.096201172,BBS,CD,6,8
6,42,ATCC,WD,ATCC/WD,5.078792155,33.87879866,0.730320504,87,WD.ATCC,2.026051188,ATCC,WD,6,10
6,27,ATCC,WD,ATCC/WD,4.738186231,33.54721807,0.694730484,96,WD.ATCC,2.34002193,ATCC,WD,6,11
6,44,ATCC,WD,ATCC/WD,5.066423445,32.14336447,0.744257278,151,WD.ATCC,2.43156913,ATCC,WD,6,12
6,11,ATCC,WD,ATCC/WD,5.04778937,30.0575026,0.761429752,113,WD.ATCC,4.237908497,ATCC,WD,6,25
6,25,ATCC,WD,ATCC/WD,5.01871324,29.48542084,0.762147581,89,WD.ATCC,3.52418881,ATCC,WD,6,26
6,41,ATCC,WD,ATCC/WD,4.970230957,33.82422335,0.717128743,122,WD.ATCC,1.37360964,ATCC,WD,6,27
6,28,ATCC,WD,ATCC/WD,4.522738041,27.91617763,0.698413251,124,WD.ATCC,3.930649526,ATCC,WD,6,28
6,26,ATCC,WD,ATCC/WD,5.447096776,39.43377964,0.752527245,143,WD.ATCC,6.251130869,ATCC,WD,6,41
6,43,ATCC,WD,ATCC/WD,5.202805325,36.9549954,0.726661846,112,WD.ATCC,4.23533863,ATCC,WD,6,42
6,47,ATCC,WD,ATCC/WD,3.911103906,35.15972535,0.592599327,115,WD.ATCC,3.302486987,ATCC,WD,6,43
6,29,ATCC,CD,ATCC/CD,4.781623075,44.57029162,0.659722806,133,WD.ATCC,5.092795883,ATCC,WD,6,44
6,15,ATCC,CD,ATCC/CD,4.94884897,38.44665182,0.701438818,92,WD.ATCC,2.865379512,ATCC,WD,6,9
6,31,ATCC,CD,ATCC/CD,4.47771862,34.98929819,0.661583433,152,WD.BBS,6.098309669,BBS,WD,6,1
6,16,ATCC,CD,ATCC/CD,3.874944137,33.4458499,0.59399208,109,WD.BBS,3.408184143,BBS,WD,6,17
6,46,ATCC,CD,ATCC/CD,3.914238011,39.18508194,0.573920132,103,WD.BBS,3.528609761,BBS,WD,6,18
6,48,ATCC,CD,ATCC/CD,4.12802319,34.91500944,0.614815645,113,WD.BBS,6.909449596,BBS,WD,6,19
6,13,ATCC,CD,ATCC/CD,4.390948857,36.05612616,0.641436745,113,WD.BBS,3.47829029,BBS,WD,6,2
6,32,ATCC,CD,ATCC/CD,3.818702291,34.07445542,0.571106257,97,WD.BBS,1.580965118,BBS,WD,6,20
6,45,ATCC,CD,ATCC/CD,4.75643922,35.11533026,0.697406805,105,WD.BBS,2.411352381,BBS,WD,6,3
41,1,ATCC,CD,ATCC/CD,4.334363872,28.01088889,0.681766169,82,WD.BBS,5.729248555,BBS,WD,6,33
41,34,BBS,WD,BBS/WD,4.562284223,24.86849598,0.730207611,80,WD.BBS,3.66418534,BBS,WD,6,34
41,2,BBS,WD,BBS/WD,4.84776938,31.92915195,0.723500186,113,WD.BBS,5.008471521,BBS,WD,6,35
41,17,BBS,WD,BBS/WD,4.638664157,26.50301901,0.733741999,112,WD.BBS,4.88191812,BBS,WD,6,36
41,36,BBS,WD,BBS/WD,4.245399609,26.41450884,0.669637232,104,WD.BBS,2.288709575,BBS,WD,6,4
41,3,BBS,WD,BBS/WD,4.642461083,28.63369815,0.718710462,93,CD.ATCC,1.821582904,ATCC,CD,41,13
41,19,BBS,WD,BBS/WD,5.022144622,31.86886548,0.737752722,88,CD.ATCC,1.060175861,ATCC,CD,41,15
41,33,BBS,WD,BBS/WD,4.528182001,28.76087253,0.708378777,84,CD.ATCC,1.284475282,ATCC,CD,41,16
41,20,BBS,WD,BBS/WD,4.907436706,27.62779563,0.750469112,76,CD.ATCC,2.302965454,ATCC,CD,41,29
41,4,BBS,WD,BBS/WD,4.522422285,31.32268124,0.70012697,87,CD.ATCC,0.459439842,ATCC,CD,41,31
41,18,BBS,WD,BBS/WD,4.990641902,32.52655446,0.731746473,93,CD.ATCC,0.675887766,ATCC,CD,41,32
41,35,BBS,WD,BBS/WD,4.659056401,28.96001811,0.723125448,88,CD.ATCC,1.224012851,ATCC,CD,41,45
41,22,BBS,WD,BBS/WD,5.064123216,43.53310719,0.693356412,113,CD.ATCC,2.013184293,ATCC,CD,41,46
41,5,BBS,CD,BBS/CD,4.846112566,39.38189204,0.678769901,158,CD.ATCC,0.962217221,ATCC,CD,41,47
41,8,BBS,CD,BBS/CD,4.25646355,47.04823242,0.580618171,82,CD.ATCC,1.064464059,ATCC,CD,41,48
41,38,BBS,CD,BBS/CD,4.051062794,36.66841962,0.590707789,112,CD.BBS,1.164816485,BBS,CD,41,21
41,23,BBS,CD,BBS/CD,3.665128064,30.42266033,0.576499895,138,CD.BBS,1.277283467,BBS,CD,41,22
41,7,BBS,CD,BBS/CD,5.429718522,35.69752211,0.776929961,116,CD.BBS,0.608598577,BBS,CD,41,23
41,40,BBS,CD,BBS/CD,3.836928926,34.93133208,0.575042616,123,CD.BBS,0.795702925,BBS,CD,41,24
41,39,BBS,CD,BBS/CD,5.378089829,36.94637284,0.774660222,102,CD.BBS,1.718913194,BBS,CD,41,37
41,24,BBS,CD,BBS/CD,4.236163854,36.71975178,0.622292198,141,CD.BBS,0.853753625,BBS,CD,41,38
41,6,BBS,CD,BBS/CD,4.836908283,37.4095071,0.687703311,131,CD.BBS,1.863405695,BBS,CD,41,39
41,21,BBS,CD,BBS/CD,4.156286875,35.36655661,0.609410237,127,CD.BBS,1.142916821,BBS,CD,41,40
41,37,BBS,CD,BBS/CD,3.900042218,42.43243513,0.548643005,161,CD.BBS,1.518489502,BBS,CD,41,5
41,10,BBS,CD,BBS/CD,4.776215722,27.69181908,0.751266481,82,CD.BBS,1.326570681,BBS,CD,41,6
41,12,ATCC,WD,ATCC/WD,4.607963327,27.51342058,0.711573967,82,CD.BBS,1.295705185,BBS,CD,41,7
41,42,ATCC,WD,ATCC/WD,5.103350589,31.39223249,0.740171933,89,CD.BBS,0.827714935,BBS,CD,41,8
41,27,ATCC,WD,ATCC/WD,4.929025801,28.8630369,0.753770621,85,WD.ATCC,3.871803732,ATCC,WD,41,10
41,44,ATCC,WD,ATCC/WD,4.726284002,29.09404079,0.717738939,122,WD.ATCC,3.150507328,ATCC,WD,41,11
41,11,ATCC,WD,ATCC/WD,5.140472288,25.81617814,0.808561579,93,WD.ATCC,2.828990228,ATCC,WD,41,12
41,25,ATCC,WD,ATCC/WD,4.88658171,27.82739828,0.762409683,90,WD.ATCC,3.537705723,ATCC,WD,41,25
41,41,ATCC,WD,ATCC/WD,5.039488035,33.50315218,0.741710271,111,WD.ATCC,4.175430118,ATCC,WD,41,26
41,28,ATCC,WD,ATCC/WD,5.045609365,28.16615223,0.777221741,119,WD.ATCC,2.675604627,ATCC,WD,41,27
41,26,ATCC,WD,ATCC/WD,5.059724459,33.69417056,0.730041295,119,WD.ATCC,2.561899791,ATCC,WD,41,28
41,43,ATCC,WD,ATCC/WD,4.908144521,33.87754515,0.711859934,96,WD.ATCC,6.901589242,ATCC,WD,41,41
41,47,ATCC,WD,ATCC/WD,3.917182991,32.2029439,0.601921727,140,WD.ATCC,4.682560653,ATCC,WD,41,42
41,29,ATCC,CD,ATCC/CD,3.997641856,41.96835991,0.568377852,119,WD.ATCC,4.596624932,ATCC,WD,41,43
41,15,ATCC,CD,ATCC/CD,4.22927136,39.6167595,0.613398571,132,WD.ATCC,6.757146177,ATCC,WD,41,44
41,31,ATCC,CD,ATCC/CD,4.214002647,40.3449042,0.60103638,131,WD.ATCC,5.736103313,ATCC,WD,41,9
41,16,ATCC,CD,ATCC/CD,4.809189689,41.14445644,0.68269742,129,WD.BBS,2.855814439,BBS,WD,41,1
41,46,ATCC,CD,ATCC/CD,4.3666589,39.46197909,0.625839718,94,WD.BBS,4.186603895,BBS,WD,41,17
41,48,ATCC,CD,ATCC/CD,3.841867464,38.14237499,0.560203866,122,WD.BBS,4.058513189,BBS,WD,41,18
41,13,ATCC,CD,ATCC/CD,4.076309678,41.75917022,0.571769934,126,WD.BBS,5.153195807,BBS,WD,41,19
41,32,ATCC,CD,ATCC/CD,3.731147169,32.53862569,0.569241985,91,WD.BBS,4.668319808,BBS,WD,41,2
41,45,ATCC,CD,ATCC/CD,4.711223882,37.47037225,0.679757961,116,WD.BBS,2.888651752,BBS,WD,41,20
65,1,ATCC,CD,ATCC/CD,4.679960989,27.66997498,0.734106987,83,WD.BBS,2.257344597,BBS,WD,41,3
65,34,BBS,WD,BBS/WD,4.667857767,27.58481476,0.719033179,91,WD.BBS,3.998760535,BBS,WD,41,33
65,2,BBS,WD,BBS/WD,4.896355871,31.64994561,0.723437134,126,WD.BBS,2.7743309,BBS,WD,41,34
65,17,BBS,WD,BBS/WD,4.824488947,28.47462461,0.741340072,86,WD.BBS,8.700487805,BBS,WD,41,35
65,36,BBS,WD,BBS/WD,4.661925682,28.60082453,0.712924371,109,WD.BBS,2.588304685,BBS,WD,41,36
65,3,BBS,WD,BBS/WD,5.125348648,29.9313405,0.761802801,96,WD.BBS,2.796942344,BBS,WD,41,4
65,19,BBS,WD,BBS/WD,4.400109507,28.69918254,0.684707163,106,CD.ATCC,1.493349901,ATCC,CD,65,13
65,33,BBS,WD,BBS/WD,5.186730413,32.17464129,0.780680717,100,CD.ATCC,0.875547986,ATCC,CD,65,15
65,20,BBS,WD,BBS/WD,5.076993325,27.99135272,0.770998062,90,CD.ATCC,1.402819999,ATCC,CD,65,16
65,4,BBS,WD,BBS/WD,4.410961544,28.74747989,0.666841275,100,CD.ATCC,1.039992695,ATCC,CD,65,29
65,18,BBS,WD,BBS/WD,4.615930299,35.69054185,0.661565875,81,CD.ATCC,1.217254338,ATCC,CD,65,31
65,35,BBS,WD,BBS/WD,4.833990585,31.40459207,0.727588082,98,CD.ATCC,2.486882551,ATCC,CD,65,32
65,22,BBS,WD,BBS/WD,5.046216569,42.17499513,0.702824577,146,CD.ATCC,0.758306334,ATCC,CD,65,45
65,5,BBS,CD,BBS/CD,4.048270207,40.02655452,0.569495151,145,CD.ATCC,2.899687918,ATCC,CD,65,46
65,8,BBS,CD,BBS/CD,4.027882285,45.23241623,0.552171583,91,CD.ATCC,1.423384689,ATCC,CD,65,47
65,38,BBS,CD,BBS/CD,5.528074098,40.46992599,0.773184562,101,CD.ATCC,2.242001641,ATCC,CD,65,48
65,23,BBS,CD,BBS/CD,3.873363826,31.5778588,0.595188392,159,CD.BBS,2.087772512,BBS,CD,65,21
65,7,BBS,CD,BBS/CD,5.14498914,36.24839739,0.746211041,142,CD.BBS,1.731964024,BBS,CD,65,22
65,40,BBS,CD,BBS/CD,4.059937509,44.0731946,0.56238298,105,CD.BBS,0.793622805,BBS,CD,65,23
65,39,BBS,CD,BBS/CD,4.600085713,35.18870626,0.68512325,149,CD.BBS,1.47306551,BBS,CD,65,24
65,24,BBS,CD,BBS/CD,3.672391325,33.92835554,0.551558228,138,CD.BBS,1.875795908,BBS,CD,65,37
65,6,BBS,CD,BBS/CD,4.876936207,37.00909724,0.695589521,129,CD.BBS,1.885958192,BBS,CD,65,38
65,21,BBS,CD,BBS/CD,4.889194347,38.65878069,0.680015807,119,CD.BBS,1.121162545,BBS,CD,65,39
65,37,BBS,CD,BBS/CD,3.979559704,44.78039077,0.544184794,157,CD.BBS,1.611655285,BBS,CD,65,40
65,10,BBS,CD,BBS/CD,4.732335316,23.27298877,0.794789938,62,CD.BBS,0.993900944,BBS,CD,65,5
65,12,ATCC,WD,ATCC/WD,4.916316752,28.33464798,0.748314277,96,CD.BBS,1.507628642,BBS,CD,65,6
65,42,ATCC,WD,ATCC/WD,5.051386354,30.48183549,0.74204833,95,CD.BBS,1.159363983,BBS,CD,65,7
65,27,ATCC,WD,ATCC/WD,4.962153413,30.84018655,0.742115161,85,CD.BBS,1.218543046,BBS,CD,65,8
65,44,ATCC,WD,ATCC/WD,5.140717241,33.47979288,0.755171032,118,WD.ATCC,6.080388693,ATCC,WD,65,10
65,11,ATCC,WD,ATCC/WD,4.960641779,29.3370429,0.753328782,103,WD.ATCC,3.315210262,ATCC,WD,65,11
65,25,ATCC,WD,ATCC/WD,4.95441082,28.38179035,0.772992453,90,WD.ATCC,4.226844077,ATCC,WD,65,12
65,41,ATCC,WD,ATCC/WD,4.865761524,33.5561732,0.713436048,113,WD.ATCC,2.46303705,ATCC,WD,65,25
65,28,ATCC,WD,ATCC/WD,4.989216284,29.6690546,0.768534995,112,WD.ATCC,7.031753611,ATCC,WD,65,26
65,26,ATCC,WD,ATCC/WD,4.979077724,33.26471412,0.723425244,112,WD.ATCC,3.79863516,ATCC,WD,65,27
65,43,ATCC,WD,ATCC/WD,4.909280512,32.99923506,0.721172991,112,WD.ATCC,3.058429119,ATCC,WD,65,28
65,47,ATCC,WD,ATCC/WD,5.588413444,45.07770478,0.753373491,158,WD.ATCC,5.815518813,ATCC,WD,65,41
65,29,ATCC,CD,ATCC/CD,5.130057212,45.45901136,0.69158253,159,WD.ATCC,4.202883491,ATCC,WD,65,42
65,15,ATCC,CD,ATCC/CD,5.584817153,43.38384448,0.763695684,144,WD.ATCC,3.461718293,ATCC,WD,65,43
65,31,ATCC,CD,ATCC/CD,4.318398811,38.51415601,0.62097741,171,WD.ATCC,4.570564186,ATCC,WD,65,44
65,16,ATCC,CD,ATCC/CD,5.609638747,43.03725618,0.782384578,124,WD.ATCC,4.226007263,ATCC,WD,65,9
65,46,ATCC,CD,ATCC/CD,4.92372639,42.52036623,0.674980449,130,WD.BBS,4.630285278,BBS,WD,65,1
65,48,ATCC,CD,ATCC/CD,3.661211207,35.0528826,0.54529004,145,WD.BBS,4.166666667,BBS,WD,65,17
65,13,ATCC,CD,ATCC/CD,5.675526033,43.39462021,0.777066868,157,WD.BBS,2.208513073,BBS,WD,65,18
65,32,ATCC,CD,ATCC/CD,4.631946355,37.2788207,0.659598939,171,WD.BBS,4.846511628,BBS,WD,65,19
65,45,ATCC,CD,ATCC/CD,4.788787771,41.55089149,0.66697053,105,WD.BBS,4.33202934,BBS,WD,65,2
,,,,,,,,,WD.BBS,3.309390721,BBS,WD,65,20
,,,,,,,,,WD.BBS,4.295645984,BBS,WD,65,3
,,,,,,,,,WD.BBS,3.934901023,BBS,WD,65,33
,,,,,,,,,WD.BBS,3.051105442,BBS,WD,65,34
,,,,,,,,,WD.BBS,5.898170791,BBS,WD,65,35
,,,,,,,,,WD.BBS,1.66498202,BBS,WD,65,36
,,,,,,,,,WD.BBS,5.025869565,BBS,WD,65,4