Time,Combo,Weight,Treatment,Diet,Mouse
-7,BBS/WD,16,BBS,WD,1
-7,BBS/WD,16,BBS,WD,2
-7,BBS/WD,14,BBS,WD,3
-7,BBS/WD,16,BBS,WD,4
-7,BBS/WD,14,BBS,WD,17
-7,BBS/WD,20,BBS,WD,18
-7,BBS/WD,21,BBS,WD,19
-7,BBS/WD,14,BBS,WD,20
-7,BBS/WD,14,BBS,WD,33
-7,BBS/WD,18,BBS,WD,34
-7,BBS/WD,19,BBS,WD,35
-7,BBS/WD,19,BBS,WD,36
-7,BBS/CD,18,BBS,CD,5
-7,BBS/CD,17,BBS,CD,6
-7,BBS/CD,16,BBS,CD,7
-7,BBS/CD,18,BBS,CD,8
-7,BBS/CD,14,BBS,CD,21
-7,BBS/CD,15,BBS,CD,22
-7,BBS/CD,16,BBS,CD,23
-7,BBS/CD,15,BBS,CD,24
-7,BBS/CD,18,BBS,CD,37
-7,BBS/CD,20,BBS,CD,38
-7,BBS/CD,20,BBS,CD,39
-7,BBS/CD,18,BBS,CD,40
-7,MV/WD,17,MV,WD,9
-7,MV/WD,16,MV,WD,10
-7,MV/WD,17,MV,WD,11
-7,MV/WD,19,MV,WD,12
-7,MV/WD,19,MV,WD,25
-7,MV/WD,16,MV,WD,26
-7,MV/WD,9,MV,WD,27
-7,MV/WD,19,MV,WD,28
-7,MV/WD,15,MV,WD,41
-7,MV/WD,16,MV,WD,42
-7,MV/WD,19,MV,WD,43
-7,MV/WD,18,MV,WD,44
-7,MV/CD,17,MV,CD,13
-7,MV/CD,11,MV,CD,14
-7,MV/CD,19,MV,CD,15
-7,MV/CD,12,MV,CD,16
-7,MV/CD,17,MV,CD,29
-7,MV/CD,19,MV,CD,30
-7,MV/CD,17,MV,CD,31
-7,MV/CD,15,MV,CD,32
-7,MV/CD,20,MV,CD,45
-7,MV/CD,18,MV,CD,46
-7,MV/CD,18,MV,CD,47
-7,MV/CD,20,MV,CD,48
0,BBS/WD,20,BBS,WD,1
0,BBS/WD,20,BBS,WD,2
0,BBS/WD,17,BBS,WD,3
0,BBS/WD,17,BBS,WD,4
0,BBS/WD,22,BBS,WD,17
0,BBS/WD,21,BBS,WD,18
0,BBS/WD,24,BBS,WD,19
0,BBS/WD,20,BBS,WD,20
0,BBS/WD,21,BBS,WD,33
0,BBS/WD,19,BBS,WD,34
0,BBS/WD,21,BBS,WD,35
0,BBS/WD,20,BBS,WD,36
0,BBS/CD,20,BBS,CD,5
0,BBS/CD,19,BBS,CD,6
0,BBS/CD,20,BBS,CD,7
0,BBS/CD,20,BBS,CD,8
0,BBS/CD,19,BBS,CD,21
0,BBS/CD,21,BBS,CD,22
0,BBS/CD,23,BBS,CD,23
0,BBS/CD,21,BBS,CD,24
0,BBS/CD,19,BBS,CD,37
0,BBS/CD,24,BBS,CD,38
0,BBS/CD,22,BBS,CD,39
0,BBS/CD,19,BBS,CD,40
0,MV/WD,20,MV,WD,9
0,MV/WD,23,MV,WD,10
0,MV/WD,20,MV,WD,11
0,MV/WD,24,MV,WD,12
0,MV/WD,20,MV,WD,25
0,MV/WD,18,MV,WD,26
0,MV/WD,15,MV,WD,27
0,MV/WD,20,MV,WD,28
0,MV/WD,19,MV,WD,41
0,MV/WD,19,MV,WD,42
0,MV/WD,20,MV,WD,43
0,MV/WD,20,MV,WD,44
0,MV/CD,20,MV,CD,13
0,MV/CD,,MV,CD,14
0,MV/CD,22,MV,CD,15
0,MV/CD,19,MV,CD,16
0,MV/CD,20,MV,CD,29
0,MV/CD,20,MV,CD,30
0,MV/CD,22,MV,CD,31
0,MV/CD,17,MV,CD,32
0,MV/CD,20,MV,CD,45
0,MV/CD,20,MV,CD,46
0,MV/CD,19,MV,CD,47
0,MV/CD,22,MV,CD,48
7,BBS/WD,23,BBS,WD,1
7,BBS/WD,23,BBS,WD,2
7,BBS/WD,19,BBS,WD,3
7,BBS/WD,17,BBS,WD,4
7,BBS/WD,22,BBS,WD,17
7,BBS/WD,23,BBS,WD,18
7,BBS/WD,26,BBS,WD,19
7,BBS/WD,23,BBS,WD,20
7,BBS/WD,22,BBS,WD,33
7,BBS/WD,20,BBS,WD,34
7,BBS/WD,24,BBS,WD,35
7,BBS/WD,25,BBS,WD,36
7,BBS/CD,23,BBS,CD,5
7,BBS/CD,21,BBS,CD,6
7,BBS/CD,21,BBS,CD,7
7,BBS/CD,22,BBS,CD,8
7,BBS/CD,20,BBS,CD,21
7,BBS/CD,22,BBS,CD,22
7,BBS/CD,24,BBS,CD,23
7,BBS/CD,22,BBS,CD,24
7,BBS/CD,21,BBS,CD,37
7,BBS/CD,25,BBS,CD,38
7,BBS/CD,24,BBS,CD,39
7,BBS/CD,21,BBS,CD,40
7,MV/WD,22,MV,WD,9
7,MV/WD,24,MV,WD,10
7,MV/WD,23,MV,WD,11
7,MV/WD,26,MV,WD,12
7,MV/WD,24,MV,WD,25
7,MV/WD,20,MV,WD,26
7,MV/WD,19,MV,WD,27
7,MV/WD,22,MV,WD,28
7,MV/WD,20,MV,WD,41
7,MV/WD,20,MV,WD,42
7,MV/WD,24,MV,WD,43
7,MV/WD,22,MV,WD,44
7,MV/CD,20,MV,CD,13
7,MV/CD,,MV,CD,14
7,MV/CD,24,MV,CD,15
7,MV/CD,21,MV,CD,16
7,MV/CD,22,MV,CD,29
7,MV/CD,15,MV,CD,30
7,MV/CD,24,MV,CD,31
7,MV/CD,20,MV,CD,32
7,MV/CD,20,MV,CD,45
7,MV/CD,22,MV,CD,46
7,MV/CD,20,MV,CD,47
7,MV/CD,24,MV,CD,48
14,BBS/WD,25,BBS,WD,1
14,BBS/WD,23,BBS,WD,2
14,BBS/WD,20,BBS,WD,3
14,BBS/WD,21,BBS,WD,4
14,BBS/WD,25,BBS,WD,17
14,BBS/WD,26,BBS,WD,18
14,BBS/WD,29,BBS,WD,19
14,BBS/WD,23,BBS,WD,20
14,BBS/WD,24,BBS,WD,33
14,BBS/WD,23,BBS,WD,34
14,BBS/WD,25,BBS,WD,35
14,BBS/WD,27,BBS,WD,36
14,BBS/CD,24,BBS,CD,5
14,BBS/CD,24,BBS,CD,6
14,BBS/CD,24,BBS,CD,7
14,BBS/CD,24,BBS,CD,8
14,BBS/CD,21,BBS,CD,21
14,BBS/CD,24,BBS,CD,22
14,BBS/CD,25,BBS,CD,23
14,BBS/CD,24,BBS,CD,24
14,BBS/CD,24,BBS,CD,37
14,BBS/CD,26,BBS,CD,38
14,BBS/CD,25,BBS,CD,39
14,BBS/CD,22,BBS,CD,40
14,MV/WD,24,MV,WD,9
14,MV/WD,25,MV,WD,10
14,MV/WD,24,MV,WD,11
14,MV/WD,29,MV,WD,12
14,MV/WD,24,MV,WD,25
14,MV/WD,23,MV,WD,26
14,MV/WD,20,MV,WD,27
14,MV/WD,24,MV,WD,28
14,MV/WD,20,MV,WD,41
14,MV/WD,20,MV,WD,42
14,MV/WD,25,MV,WD,43
14,MV/WD,24,MV,WD,44
14,MV/CD,23,MV,CD,13
14,MV/CD,,MV,CD,14
14,MV/CD,25,MV,CD,15
14,MV/CD,22,MV,CD,16
14,MV/CD,23,MV,CD,29
14,MV/CD,,MV,CD,30
14,MV/CD,24,MV,CD,31
14,MV/CD,20,MV,CD,32
14,MV/CD,23,MV,CD,45
14,MV/CD,24,MV,CD,46
14,MV/CD,21,MV,CD,47
14,MV/CD,25,MV,CD,48
21,BBS/WD,28,BBS,WD,1
21,BBS/WD,25,BBS,WD,2
21,BBS/WD,22,BBS,WD,3
21,BBS/WD,23,BBS,WD,4
21,BBS/WD,26,BBS,WD,17
21,BBS/WD,28,BBS,WD,18
21,BBS/WD,30,BBS,WD,19
21,BBS/WD,24,BBS,WD,20
21,BBS/WD,26,BBS,WD,33
21,BBS/WD,24,BBS,WD,34
21,BBS/WD,27,BBS,WD,35
21,BBS/WD,28,BBS,WD,36
21,BBS/CD,24,BBS,CD,5
21,BBS/CD,25,BBS,CD,6
21,BBS/CD,25,BBS,CD,7
21,BBS/CD,24,BBS,CD,8
21,BBS/CD,23,BBS,CD,21
21,BBS/CD,24,BBS,CD,22
21,BBS/CD,26,BBS,CD,23
21,BBS/CD,25,BBS,CD,24
21,BBS/CD,23,BBS,CD,37
21,BBS/CD,26,BBS,CD,38
21,BBS/CD,25,BBS,CD,39
21,BBS/CD,24,BBS,CD,40
21,MV/WD,24,MV,WD,9
21,MV/WD,27,MV,WD,10
21,MV/WD,25,MV,WD,11
21,MV/WD,32,MV,WD,12
21,MV/WD,26,MV,WD,25
21,MV/WD,24,MV,WD,26
21,MV/WD,21,MV,WD,27
21,MV/WD,25,MV,WD,28
21,MV/WD,22,MV,WD,41
21,MV/WD,21,MV,WD,42
21,MV/WD,26,MV,WD,43
21,MV/WD,25,MV,WD,44
21,MV/CD,25,MV,CD,13
21,MV/CD,,MV,CD,14
21,MV/CD,27,MV,CD,15
21,MV/CD,24,MV,CD,16
21,MV/CD,23,MV,CD,29
21,MV/CD,,MV,CD,30
21,MV/CD,26,MV,CD,31
21,MV/CD,22,MV,CD,32
21,MV/CD,23,MV,CD,45
21,MV/CD,25,MV,CD,46
21,MV/CD,24,MV,CD,47
21,MV/CD,27,MV,CD,48
28,BBS/WD,29,BBS,WD,1
28,BBS/WD,28,BBS,WD,2
28,BBS/WD,23,BBS,WD,3
28,BBS/WD,23,BBS,WD,4
28,BBS/WD,30,BBS,WD,17
28,BBS/WD,30,BBS,WD,18
28,BBS/WD,32,BBS,WD,19
28,BBS/WD,26,BBS,WD,20
28,BBS/WD,27,BBS,WD,33
28,BBS/WD,27,BBS,WD,34
28,BBS/WD,28,BBS,WD,35
28,BBS/WD,30,BBS,WD,36
28,BBS/CD,27,BBS,CD,5
28,BBS/CD,25,BBS,CD,6
28,BBS/CD,26,BBS,CD,7
28,BBS/CD,26,BBS,CD,8
28,BBS/CD,23,BBS,CD,21
28,BBS/CD,26,BBS,CD,22
28,BBS/CD,27,BBS,CD,23
28,BBS/CD,27,BBS,CD,24
28,BBS/CD,24,BBS,CD,37
28,BBS/CD,27,BBS,CD,38
28,BBS/CD,27,BBS,CD,39
28,BBS/CD,25,BBS,CD,40
28,MV/WD,26,MV,WD,9
28,MV/WD,29,MV,WD,10
28,MV/WD,27,MV,WD,11
28,MV/WD,35,MV,WD,12
28,MV/WD,28,MV,WD,25
28,MV/WD,24,MV,WD,26
28,MV/WD,22,MV,WD,27
28,MV/WD,27,MV,WD,28
28,MV/WD,22,MV,WD,41
28,MV/WD,23,MV,WD,42
28,MV/WD,28,MV,WD,43
28,MV/WD,26,MV,WD,44
28,MV/CD,26,MV,CD,13
28,MV/CD,,MV,CD,14
28,MV/CD,28,MV,CD,15
28,MV/CD,25,MV,CD,16
28,MV/CD,24,MV,CD,29
28,MV/CD,,MV,CD,30
28,MV/CD,28,MV,CD,31
28,MV/CD,24,MV,CD,32
28,MV/CD,24,MV,CD,45
28,MV/CD,27,MV,CD,46
28,MV/CD,24,MV,CD,47
28,MV/CD,29,MV,CD,48
35,BBS/WD,31,BBS,WD,1
35,BBS/WD,29,BBS,WD,2
35,BBS/WD,24,BBS,WD,3
35,BBS/WD,24,BBS,WD,4
35,BBS/WD,32,BBS,WD,17
35,BBS/WD,32,BBS,WD,18
35,BBS/WD,35,BBS,WD,19
35,BBS/WD,28,BBS,WD,20
35,BBS/WD,31,BBS,WD,33
35,BBS/WD,29,BBS,WD,34
35,BBS/WD,31,BBS,WD,35
35,BBS/WD,32,BBS,WD,36
35,BBS/CD,28,BBS,CD,5
35,BBS/CD,26,BBS,CD,6
35,BBS/CD,27,BBS,CD,7
35,BBS/CD,28,BBS,CD,8
35,BBS/CD,24,BBS,CD,21
35,BBS/CD,27,BBS,CD,22
35,BBS/CD,29,BBS,CD,23
35,BBS/CD,28,BBS,CD,24
35,BBS/CD,26,BBS,CD,37
35,BBS/CD,28,BBS,CD,38
35,BBS/CD,27,BBS,CD,39
35,BBS/CD,25,BBS,CD,40
35,MV/WD,26,MV,WD,9
35,MV/WD,32,MV,WD,10
35,MV/WD,28,MV,WD,11
35,MV/WD,36,MV,WD,12
35,MV/WD,30,MV,WD,25
35,MV/WD,25,MV,WD,26
35,MV/WD,23,MV,WD,27
35,MV/WD,28,MV,WD,28
35,MV/WD,23,MV,WD,41
35,MV/WD,24,MV,WD,42
35,MV/WD,30,MV,WD,43
35,MV/WD,28,MV,WD,44
35,MV/CD,26,MV,CD,13
35,MV/CD,,MV,CD,14
35,MV/CD,28,MV,CD,15
35,MV/CD,25,MV,CD,16
35,MV/CD,24,MV,CD,29
35,MV/CD,,MV,CD,30
35,MV/CD,29,MV,CD,31
35,MV/CD,24,MV,CD,32
35,MV/CD,26,MV,CD,45
35,MV/CD,28,MV,CD,46
35,MV/CD,25,MV,CD,47
35,MV/CD,31,MV,CD,48
42,BBS/WD,35,BBS,WD,1
42,BBS/WD,30,BBS,WD,2
42,BBS/WD,24,BBS,WD,3
42,BBS/WD,26,BBS,WD,4
42,BBS/WD,32,BBS,WD,17
42,BBS/WD,33,BBS,WD,18
42,BBS/WD,36,BBS,WD,19
42,BBS/WD,27,BBS,WD,20
42,BBS/WD,31,BBS,WD,33
42,BBS/WD,30,BBS,WD,34
42,BBS/WD,32,BBS,WD,35
42,BBS/WD,34,BBS,WD,36
42,BBS/CD,28,BBS,CD,5
42,BBS/CD,28,BBS,CD,6
42,BBS/CD,28,BBS,CD,7
42,BBS/CD,28,BBS,CD,8
42,BBS/CD,25,BBS,CD,21
42,BBS/CD,27,BBS,CD,22
42,BBS/CD,28,BBS,CD,23
42,BBS/CD,28,BBS,CD,24
42,BBS/CD,27,BBS,CD,37
42,BBS/CD,30,BBS,CD,38
42,BBS/CD,27,BBS,CD,39
42,BBS/CD,26,BBS,CD,40
42,MV/WD,27,MV,WD,9
42,MV/WD,34,MV,WD,10
42,MV/WD,29,MV,WD,11
42,MV/WD,36,MV,WD,12
42,MV/WD,30,MV,WD,25
42,MV/WD,26,MV,WD,26
42,MV/WD,23,MV,WD,27
42,MV/WD,29,MV,WD,28
42,MV/WD,24,MV,WD,41
42,MV/WD,24,MV,WD,42
42,MV/WD,31,MV,WD,43
42,MV/WD,29,MV,WD,44
42,MV/CD,27,MV,CD,13
42,MV/CD,,MV,CD,14
42,MV/CD,30,MV,CD,15
42,MV/CD,28,MV,CD,16
42,MV/CD,25,MV,CD,29
42,MV/CD,,MV,CD,30
42,MV/CD,28,MV,CD,31
42,MV/CD,25,MV,CD,32
42,MV/CD,26,MV,CD,45
42,MV/CD,29,MV,CD,46
42,MV/CD,27,MV,CD,47
42,MV/CD,30,MV,CD,48
49,BBS/WD,36,BBS,WD,1
49,BBS/WD,32,BBS,WD,2
49,BBS/WD,27,BBS,WD,3
49,BBS/WD,28,BBS,WD,4
49,BBS/WD,35,BBS,WD,17
49,BBS/WD,34,BBS,WD,18
49,BBS/WD,38,BBS,WD,19
49,BBS/WD,30,BBS,WD,20
49,BBS/WD,32,BBS,WD,33
49,BBS/WD,31,BBS,WD,34
49,BBS/WD,33,BBS,WD,35
49,BBS/WD,36,BBS,WD,36
49,BBS/CD,28,BBS,CD,5
49,BBS/CD,30,BBS,CD,6
49,BBS/CD,29,BBS,CD,7
49,BBS/CD,29,BBS,CD,8
49,BBS/CD,26,BBS,CD,21
49,BBS/CD,28,BBS,CD,22
49,BBS/CD,30,BBS,CD,23
49,BBS/CD,30,BBS,CD,24
49,BBS/CD,27,BBS,CD,37
49,BBS/CD,32,BBS,CD,38
49,BBS/CD,29,BBS,CD,39
49,BBS/CD,25,BBS,CD,40
49,MV/WD,28,MV,WD,9
49,MV/WD,34,MV,WD,10
49,MV/WD,30,MV,WD,11
49,MV/WD,39,MV,WD,12
49,MV/WD,32,MV,WD,25
49,MV/WD,28,MV,WD,26
49,MV/WD,24,MV,WD,27
49,MV/WD,31,MV,WD,28
49,MV/WD,25,MV,WD,41
49,MV/WD,24,MV,WD,42
49,MV/WD,31,MV,WD,43
49,MV/WD,30,MV,WD,44
49,MV/CD,28,MV,CD,13
49,MV/CD,,MV,CD,14
49,MV/CD,30,MV,CD,15
49,MV/CD,29,MV,CD,16
49,MV/CD,25,MV,CD,29
49,MV/CD,,MV,CD,30
49,MV/CD,29,MV,CD,31
49,MV/CD,26,MV,CD,32
49,MV/CD,27,MV,CD,45
49,MV/CD,31,MV,CD,46
49,MV/CD,27,MV,CD,47
49,MV/CD,31,MV,CD,48
56,BBS/WD,37,BBS,WD,1
56,BBS/WD,35,BBS,WD,2
56,BBS/WD,29,BBS,WD,3
56,BBS/WD,29,BBS,WD,4
56,BBS/WD,37,BBS,WD,17
56,BBS/WD,37,BBS,WD,18
56,BBS/WD,39,BBS,WD,19
56,BBS/WD,33,BBS,WD,20
56,BBS/WD,34,BBS,WD,33
56,BBS/WD,32,BBS,WD,34
56,BBS/WD,36,BBS,WD,35
56,BBS/WD,37,BBS,WD,36
56,BBS/CD,30,BBS,CD,5
56,BBS/CD,30,BBS,CD,6
56,BBS/CD,30,BBS,CD,7
56,BBS/CD,31,BBS,CD,8
56,BBS/CD,28,BBS,CD,21
56,BBS/CD,30,BBS,CD,22
56,BBS/CD,32,BBS,CD,23
56,BBS/CD,32,BBS,CD,24
56,BBS/CD,26,BBS,CD,37
56,BBS/CD,32,BBS,CD,38
56,BBS/CD,29,BBS,CD,39
56,BBS/CD,26,BBS,CD,40
56,MV/WD,29,MV,WD,9
56,MV/WD,36,MV,WD,10
56,MV/WD,29,MV,WD,11
56,MV/WD,42,MV,WD,12
56,MV/WD,31,MV,WD,25
56,MV/WD,29,MV,WD,26
56,MV/WD,23,MV,WD,27
56,MV/WD,29,MV,WD,28
56,MV/WD,25,MV,WD,41
56,MV/WD,25,MV,WD,42
56,MV/WD,33,MV,WD,43
56,MV/WD,32,MV,WD,44
56,MV/CD,28,MV,CD,13
56,MV/CD,,MV,CD,14
56,MV/CD,30,MV,CD,15
56,MV/CD,30,MV,CD,16
56,MV/CD,26,MV,CD,29
56,MV/CD,,MV,CD,30
56,MV/CD,31,MV,CD,31
56,MV/CD,26,MV,CD,32
56,MV/CD,28,MV,CD,45
56,MV/CD,32,MV,CD,46
56,MV/CD,28,MV,CD,47
56,MV/CD,33,MV,CD,48
63,BBS/WD,39,BBS,WD,1
63,BBS/WD,34,BBS,WD,2
63,BBS/WD,29,BBS,WD,3
63,BBS/WD,31,BBS,WD,4
63,BBS/WD,37,BBS,WD,17
63,BBS/WD,37,BBS,WD,18
63,BBS/WD,40,BBS,WD,19
63,BBS/WD,37,BBS,WD,20
63,BBS/WD,36,BBS,WD,33
63,BBS/WD,32,BBS,WD,34
63,BBS/WD,37,BBS,WD,35
63,BBS/WD,38,BBS,WD,36
63,BBS/CD,30,BBS,CD,5
63,BBS/CD,28,BBS,CD,6
63,BBS/CD,31,BBS,CD,7
63,BBS/CD,30,BBS,CD,8
63,BBS/CD,29,BBS,CD,21
63,BBS/CD,30,BBS,CD,22
63,BBS/CD,32,BBS,CD,23
63,BBS/CD,33,BBS,CD,24
63,BBS/CD,28,BBS,CD,37
63,BBS/CD,33,BBS,CD,38
63,BBS/CD,30,BBS,CD,39
63,BBS/CD,28,BBS,CD,40
63,MV/WD,28,MV,WD,9
63,MV/WD,37,MV,WD,10
63,MV/WD,29,MV,WD,11
63,MV/WD,40,MV,WD,12
63,MV/WD,31,MV,WD,25
63,MV/WD,31,MV,WD,26
63,MV/WD,24,MV,WD,27
63,MV/WD,32,MV,WD,28
63,MV/WD,25,MV,WD,41
63,MV/WD,25,MV,WD,42
63,MV/WD,33,MV,WD,43
63,MV/WD,34,MV,WD,44
63,MV/CD,28,MV,CD,13
63,MV/CD,,MV,CD,14
63,MV/CD,28,MV,CD,15
63,MV/CD,29,MV,CD,16
63,MV/CD,27,MV,CD,29
63,MV/CD,,MV,CD,30
63,MV/CD,32,MV,CD,31
63,MV/CD,27,MV,CD,32
63,MV/CD,28,MV,CD,45
63,MV/CD,32,MV,CD,46
63,MV/CD,28,MV,CD,47
63,MV/CD,32,MV,CD,48
70,BBS/WD,40,BBS,WD,1
70,BBS/WD,35,BBS,WD,2
70,BBS/WD,29,BBS,WD,3
70,BBS/WD,31,BBS,WD,4
70,BBS/WD,37,BBS,WD,17
70,BBS/WD,37,BBS,WD,18
70,BBS/WD,41,BBS,WD,19
70,BBS/WD,35,BBS,WD,20
70,BBS/WD,36,BBS,WD,33
70,BBS/WD,34,BBS,WD,34
70,BBS/WD,37,BBS,WD,35
70,BBS/WD,40,BBS,WD,36
70,BBS/CD,32,BBS,CD,5
70,BBS/CD,31,BBS,CD,6
70,BBS/CD,31,BBS,CD,7
70,BBS/CD,32,BBS,CD,8
70,BBS/CD,29,BBS,CD,21
70,BBS/CD,31,BBS,CD,22
70,BBS/CD,32,BBS,CD,23
70,BBS/CD,33,BBS,CD,24
70,BBS/CD,29,BBS,CD,37
70,BBS/CD,34,BBS,CD,38
70,BBS/CD,30,BBS,CD,39
70,BBS/CD,28,BBS,CD,40
70,MV/WD,,MV,WD,9
70,MV/WD,37,MV,WD,10
70,MV/WD,30,MV,WD,11
70,MV/WD,41,MV,WD,12
70,MV/WD,30,MV,WD,25
70,MV/WD,30,MV,WD,26
70,MV/WD,24,MV,WD,27
70,MV/WD,33,MV,WD,28
70,MV/WD,26,MV,WD,41
70,MV/WD,25,MV,WD,42
70,MV/WD,34,MV,WD,43
70,MV/WD,35,MV,WD,44
70,MV/CD,29,MV,CD,13
70,MV/CD,,MV,CD,14
70,MV/CD,29,MV,CD,15
70,MV/CD,29,MV,CD,16
70,MV/CD,28,MV,CD,29
70,MV/CD,,MV,CD,30
70,MV/CD,31,MV,CD,31
70,MV/CD,26,MV,CD,32
70,MV/CD,28,MV,CD,45
70,MV/CD,32,MV,CD,46
70,MV/CD,28,MV,CD,47
70,MV/CD,31,MV,CD,48